localword,words,type
demi_0,"[('nick', 4), ('jonas', 2)]",topic 0
demi lovato_0,"[('nick', 7), ('jonas', 4)]",topic 0
demilovato_0,"[('concert', 2), ('music', 1)]",topic 20
democrat point_0,"[('trip', 1), ('road', 1)]",topic 22
denver international airport_0,"[('pilot', 1), ('flight', 1)]",topic 7
denverbroncos_1,"[('field', 1), ('win', 1), ('football', 1)]",topic 30
deschute_0,"[('brewery', 4), ('beer', 1), ('drinking', 1)]",topic 14
desert_11,"[('yum', 1), ('yummy', 1), ('eating', 1)]",topic 14
desert_38,"[('clouds', 3), ('cloud', 1)]",topic 22
desert_40,"[('international', 2), ('airport', 1)]",topic 7
desert_35,"[('trip', 1), ('usa', 1)]",topic 22
despere_0,"[('career', 2), ('arc', 2)]",topic 10
desplaine_0,"[('driver', 3), ('cdl', 1), ('delivery', 1)]",topic 9
detroithustlesharder_0,"[('art', 1), ('artist', 1), ('street', 1)]",topic 24
dfw_1,"[('airport', 6), ('plane', 2), ('international', 2), ('airlines', 1)]",topic 7
dga_0,"[('screening', 2), ('cast', 1)]",topic 17
disney s animal_0,"[('kingdom', 2), ('magic', 1)]",topic 4
disney s magic kingdom_0,"[('magic', 3), ('kingdom', 1)]",topic 4
disney spring_0,"[('weather', 1), ('clouds', 1), ('sky', 1), ('cloud', 1), ('current', 1)]",topic 22
disneydream_0,"[('dcl', 2), ('derek', 1), ('bov', 1)]",topic 4
disneyland_6,"[('halloween', 9), ('christmas', 3)]",topic 4
disneys_1,"[('kingdom', 4), ('magic', 3)]",topic 4
disneyworld_3,"[('kingdom', 9), ('magic', 7)]",topic 4
district of_0,"[('explore', 1), ('trip', 1)]",topic 22
dmv_7,"[('international', 2), ('flight', 1)]",topic 7
dmv_10,"[('festival', 1), ('music', 1)]",topic 20
dnce_0,"[('music', 3), ('band', 1)]",topic 20
dnce_1,"[('nick', 2), ('jonas', 1)]",topic 0
dodger_10,"[('stadium', 31), ('win', 7), ('beat', 5)]",topic 30
dodger dog_0,"[('beer', 1), ('drinking', 1)]",topic 14
dodger game tonight_0,"[('win', 1), ('beat', 1), ('stadium', 1)]",topic 30
dodger stadium_0,"[('win', 3), ('winning', 1)]",topic 30
dodgers_1,"[('win', 2), ('beat', 2), ('stadium', 1)]",topic 30
dodgerstadium_0,"[('stadium', 4), ('beat', 1)]",topic 30
dolore_0,"[('lunch', 1), ('yummy', 1), ('yum', 1)]",topic 14
dolorespark_0,"[('gay', 1), ('insta', 1)]",topic 23
domain_2,"[('drinking', 2), ('tap', 2), ('ipa', 1), ('stout', 1)]",topic 14
dontlookatme_1,"[('beat', 1), ('stadium', 1)]",topic 30
donut bar_0,"[('donuts', 1), ('donut', 1)]",topic 14
doover sf_0,"[('block', 2), ('party', 2)]",topic 20
doraville_0,"[('customer', 1), ('technician', 1)]",topic 9
dorval_0,"[('career', 2), ('arc', 2)]",topic 10
dottiestruebluecafe_0,"[('breakfast', 2), ('delicious', 1)]",topic 14
dougla park_0,"[('fantastic', 1), ('amazing', 1)]",topic 20
douglass park_0,"[('fest', 3), ('festival', 1), ('music', 1)]",topic 20
downtown atlanta_0,"[('cool', 1), ('awesome', 1)]",topic 20
downtown la_2,"[('photography', 1), ('photographer', 1)]",topic 24
downtown los angele_3,"[('hair', 1), ('beauty', 1)]",topic 24
downtown orlando_0,"[('street', 1), ('wall', 1), ('art', 1)]",topic 24
downtown phoenix_1,"[('calm', 1), ('storm', 1)]",topic 2
downtown san diego_0,"[('architecture', 2), ('buildings', 1), ('building', 1)]",topic 22
downtownindy_0,"[('modern', 1), ('art', 1)]",topic 24
downtownla_0,"[('cafe', 2), ('salad', 1)]",topic 14
downtownmiami_0,"[('downtown', 3), ('skyline', 2)]",topic 22
downtowntoronto_1,"[('tower', 1), ('skyline', 1)]",topic 22
dragoncon_0,"[('cosplay', 8), ('cosplayers', 1)]",topic 3
dtla_4,"[('art', 9), ('street', 5), ('wall', 1)]",topic 24
dtlv_1,"[('street', 1), ('art', 1), ('wall', 1)]",topic 24
dtlv_2,"[('piece', 1), ('art', 1)]",topic 24
dtsa_0,"[('art', 1), ('photography', 1), ('street', 1)]",topic 24
dtsp_1,"[('pool', 1), ('party', 1)]",topic 20
dulle_0,"[('career', 2), ('arc', 2)]",topic 10
dumbo_0,"[('river', 1), ('bridge', 1)]",topic 22
duquesne university_0,"[('phi', 1), ('alpha', 1), ('delta', 1)]",topic 28
dym100_0,"[('church', 2), ('ministry', 1)]",topic 0
east river_1,"[('friends', 1), ('friend', 1)]",topic 20
eastbay_0,"[('filter', 1), ('nature', 1)]",topic 22
eastern market_2,"[('lot', 2), ('tailgating', 2)]",topic 30
eastern michigan_0,"[('college', 1), ('beat', 1)]",topic 30
eastlosangele_0,"[('career', 2), ('arc', 2)]",topic 10
eaststlouis_0,"[('banking', 2), ('regions', 2), ('financial', 1)]",topic 9
eastvillage_0,"[('art', 4), ('street', 3), ('artist', 1), ('graffiti', 1)]",topic 24
eau claire wi_0,"[('warning', 2), ('cover', 1), ('severe', 1), ('thunderstorm', 1), ('including', 1)]",topic 2
ebike_1,"[('bikes', 1), ('bike', 1)]",topic 19
echopark_0,"[('street', 4), ('art', 1)]",topic 24
echostage_0,"[('throwback', 1), ('tbt', 1)]",topic 20
eddie george_1,"[('cook', 2), ('restaurant', 1)]",topic 9
edelman_1,"[('qb', 1), ('football', 1)]",topic 30
eglinton_0,"[('ave', 2), ('div', 1)]",topic 1
eij16_1,"[('friend', 1), ('friends', 1)]",topic 20
el corazon_0,"[('crowd', 1), ('fucking', 1)]",topic 20
eldoradospring_0,"[('sonic', 1), ('assistant', 1)]",topic 9
elleven45_0,"[('tacos', 2), ('tuesday', 1)]",topic 14
emmy_10,"[('awards', 2), ('award', 1)]",topic 17
emmy_11,"[('win', 1), ('winning', 1)]",topic 30
emmy award_2,"[('fashion', 2), ('style', 1)]",topic 24
emmy award_3,"[('award', 1), ('awards', 1)]",topic 17
emmys_29,"[('red', 14), ('black', 1), ('white', 1)]",topic 21
emmys_30,"[('makeup', 2), ('mua', 1)]",topic 24
emmys_2,"[('trends', 2), ('trnd', 1)]",topic 27
emmys_18,"[('red', 1), ('white', 1)]",topic 21
emmys2016_7,"[('award', 4), ('awards', 2)]",topic 17
emmys2016_8,"[('makeup', 1), ('beauty', 1), ('hair', 1)]",topic 24
emory university_0,"[('campus', 1), ('college', 1)]",topic 28
empire state_0,"[('empire', 5), ('building', 4)]",topic 22
empirestate_0,"[('building', 3), ('empire', 3)]",topic 22
enriqueiglesias_0,"[('iglesias', 3), ('enrique', 3)]",topic 0
epcot_0,"[('food', 15), ('delicious', 1), ('yum', 1), ('lunch', 1), ('eat', 1)]",topic 14
epcot food_0,"[('food', 3), ('eating', 1)]",topic 14
epic steak_0,"[('nice', 1), ('pretty', 1)]",topic 20
equinoxmademedoit_0,"[('east', 1), ('west', 1)]",topic 1
evergladesalligator alley_1,"[('road', 2), ('trip', 1)]",topic 22
eveshamtownship_0,"[('career', 3), ('arc', 3)]",topic 10
exit_1,"[('construction', 2), ('cleared', 1)]",topic 1
expo_8,"[('art', 2), ('gallery', 1)]",topic 24
expo_9,"[('trip', 1), ('quick', 1)]",topic 22
expo_2,"[('awesome', 2), ('friend', 1)]",topic 20
expoeast_1,"[('ale', 1), ('tap', 1)]",topic 14
fair oak_0,"[('cheese', 1), ('grilled', 1), ('chicken', 1)]",topic 14
fall color_0,"[('hiking', 1), ('trail', 1)]",topic 22
fall color_1,"[('autumn', 1), ('fall', 1), ('coming', 1)]",topic 22
fallcolor_7,"[('colors', 1), ('fall', 1)]",topic 22
fallcolor_6,"[('leaves', 1), ('fall', 1)]",topic 22
fan village_0,"[('amazing', 1), ('awesome', 1)]",topic 20
farmingtonhill_0,"[('career', 2), ('arc', 2)]",topic 10
fashion island_0,"[('sale', 1), ('store', 1)]",topic 9
fashion week_2,"[('dress', 1), ('fashion', 1)]",topic 24
fashionopolis_0,"[('fashion', 2), ('model', 1)]",topic 24
fashionweek_1,"[('fashion', 6), ('style', 2), ('designer', 2), ('collection', 1), ('model', 1)]",topic 24
favourite_2,"[('sunday', 1), ('sundays', 1)]",topic 26
fedex_0,"[('tailgating', 3), ('nfl', 1), ('stadium', 1), ('football', 1)]",topic 30
fedex field stadium_0,"[('sunday', 2), ('funday', 1)]",topic 26
fedexfield_0,"[('nfl', 3), ('football', 2), ('beat', 2), ('gameday', 1), ('stadium', 1), ('nation', 1)]",topic 30
fedexforum_0,"[('wwe', 4), ('wrestling', 1)]",topic 0
fenway park_0,"[('dream', 2), ('true', 2)]",topic 11
festival pier_0,"[('party', 3), ('block', 3)]",topic 20
fidi_0,"[('downtown', 3), ('skyline', 1)]",topic 22
fieldworkbrewingco_0,"[('craft', 1), ('ipa', 1), ('beer', 1), ('pale', 1)]",topic 14
fifth avenue_0,"[('building', 2), ('empire', 1)]",topic 22
fillmore auditorium_0,"[('friend', 1), ('friends', 1)]",topic 20
fire island_0,"[('summer', 3), ('perfect', 1)]",topic 22
first nation_0,"[('lake', 2), ('trail', 1)]",topic 22
fisherman s wharf_0,"[('amazing', 1), ('awesome', 1)]",topic 20
fiu_2,"[('college', 1), ('campus', 1)]",topic 28
flatbush avenue_0,"[('construction', 1), ('cleared', 1), ('directions', 1), ('update', 1), ('incident', 1)]",topic 1
flatiron building_0,"[('building', 4), ('architecture', 1)]",topic 22
flatiron district_0,"[('building', 2), ('empire', 2)]",topic 22
florida key_0,"[('dinner', 1), ('food', 1)]",topic 14
floridacity_0,"[('career', 2), ('arc', 2)]",topic 10
floridahateweek_1,"[('nation', 1), ('beat', 1)]",topic 30
floridalife_6,"[('sunrise', 1), ('filter', 1)]",topic 22
followyournola_2,"[('art', 1), ('arts', 1)]",topic 24
fonda theatre_0,"[('fest', 1), ('music', 1)]",topic 20
foodandwine_0,"[('food', 1), ('eat', 1)]",topic 14
ford field_0,"[('field', 3), ('opener', 1), ('football', 1)]",topic 30
formation_1,"[('beyonc', 4), ('slay', 3), ('queen', 1)]",topic 20
formationworldtour_3,"[('beyonc', 5), ('queen', 2), ('slay', 1)]",topic 20
fort myer_0,"[('international', 2), ('airport', 1)]",topic 7
fort zumwalt_0,"[('east', 2), ('west', 2)]",topic 1
fortcollin_1,"[('career', 2), ('arc', 2)]",topic 10
fortmyer_0,"[('medical', 2), ('assistant', 1)]",topic 6
forum_0,"[('nick', 4), ('jonas', 2)]",topic 0
fourth presbyterian church_0,"[('church', 1), ('cathedral', 1)]",topic 0
francisco international airport_0,"[('airport', 3), ('flight', 2), ('bound', 1)]",topic 7
franklinlake_0,"[('business', 2), ('kellymitchell', 1)]",topic 9
franklintn_0,"[('lose', 1), ('win', 1)]",topic 30
freeway_8,"[('usa', 1), ('america', 1)]",topic 22
freshhop_0,"[('brewing', 1), ('craft', 1), ('ipa', 1)]",topic 14
frothy monkey_0,"[('coffee', 2), ('cappuccino', 1)]",topic 14
fsu_3,"[('gamma', 2), ('kappa', 2)]",topic 28
ftmill_0,"[('career', 3), ('arc', 3)]",topic 10
fwmn_0,"[('collection', 1), ('fashion', 1)]",topic 24
gallivan center_0,"[('art', 2), ('piece', 1)]",topic 24
garden state_1,"[('amc', 2), ('sully', 1)]",topic 17
garethemery_0,"[('awesome', 1), ('amazing', 1)]",topic 20
garth brook_0,"[('amazing', 1), ('awesome', 1)]",topic 20
garthbrook_0,"[('amazing', 1), ('fantastic', 1)]",topic 20
gator golf_0,"[('harambe', 2), ('rip', 1)]",topic 18
gbr_3,"[('season', 2), ('win', 1)]",topic 30
generationbeauty_0,"[('beauty', 2), ('makeup', 2)]",topic 24
george bush_0,"[('friend', 1), ('finally', 1)]",topic 20
george mason university_0,"[('wait', 1), ('excited', 1)]",topic 20
george washington bridge_0,"[('sunsets', 1), ('sunrise', 1)]",topic 22
georgetowntownship_0,"[('sale', 2), ('specialist', 1), ('customer', 1)]",topic 9
georgiatech_0,"[('thursday', 2), ('tbt', 1)]",topic 20
giant game_2,"[('stadium', 2), ('field', 1)]",topic 30
giantspride_0,"[('nfl', 1), ('sunday', 1), ('season', 1)]",topic 30
gidding_0,"[('store', 2), ('candidate', 1)]",topic 9
gillette stadium_0,"[('football', 4), ('nfl', 2), ('tailgating', 1), ('stadium', 1), ('gameday', 1), ('season', 1)]",topic 30
gillettestadium_0,"[('football', 2), ('nfl', 2), ('season', 1), ('field', 1), ('opener', 1), ('stadium', 1)]",topic 30
giorgiporgi_0,"[('coffee', 2), ('latte', 1)]",topic 14
glacier national park_0,"[('awesome', 1), ('amazing', 1)]",topic 20
glacier point_1,"[('trails', 1), ('hiking', 1), ('nature', 1)]",topic 22
glaciernationalpark_2,"[('nature', 1), ('tree', 1), ('landscape', 1)]",topic 22
glass floor_0,"[('views', 1), ('tower', 1)]",topic 22
glenbard_0,"[('football', 1), ('win', 1)]",topic 30
glendaleheight_0,"[('career', 2), ('arc', 2)]",topic 10
glenwoodspring_0,"[('career', 4), ('arc', 4)]",topic 10
gmen_4,"[('nfl', 2), ('stadium', 1), ('football', 1)]",topic 30
gobear_1,"[('bears', 2), ('bear', 1)]",topic 29
gobear_3,"[('stadium', 4), ('beat', 2), ('win', 1)]",topic 30
goblue_1,"[('college', 1), ('football', 1)]",topic 30
gobroncos_0,"[('football', 3), ('nfl', 1)]",topic 30
gobrown_1,"[('stadium', 2), ('tailgating', 1)]",topic 30
gobucs_0,"[('football', 1), ('beat', 1)]",topic 30
gocanadago_0,"[('excited', 1), ('wait', 1)]",topic 20
gocard_0,"[('win', 1), ('fan', 1)]",topic 30
gocat_1,"[('student', 1), ('college', 1)]",topic 28
gocubsgo_1,"[('ball', 2), ('play', 1)]",topic 30
gododger_1,"[('stadium', 4), ('win', 1)]",topic 30
gogator_1,"[('stadium', 1), ('beat', 1)]",topic 30
gohawks_0,"[('football', 1), ('win', 1)]",topic 30
goirish_0,"[('beat', 2), ('stadium', 1)]",topic 30
goldcoast_0,"[('street', 1), ('art', 1)]",topic 24
golden gate bridge_0,"[('bridge', 3), ('river', 1)]",topic 22
goldengatebridge_3,"[('travel', 2), ('usa', 2), ('gram', 1)]",topic 22
gomariner_0,"[('north', 2), ('west', 1)]",topic 1
gonerfest xiii_0,"[('drinking', 2), ('beer', 1)]",topic 14
good morning boulder_0,"[('sunrise', 1), ('filter', 1)]",topic 22
gopanther_0,"[('panthers', 3), ('panther', 1)]",topic 30
goram_0,"[('nfl', 2), ('opener', 2), ('season', 1), ('football', 1), ('nation', 1), ('win', 1)]",topic 30
gorams_0,"[('football', 2), ('opener', 1), ('season', 1), ('win', 1)]",topic 30
gotexan_5,"[('football', 2), ('university', 1)]",topic 28
gotribe_0,"[('season', 1), ('win', 1)]",topic 30
government_1,"[('analyst', 2), ('business', 1)]",topic 9
graffitialley_0,"[('art', 2), ('graffiti', 2), ('street', 1)]",topic 24
grand central_0,"[('travel', 3), ('usa', 1)]",topic 22
grand central terminal_0,"[('train', 2), ('station', 1)]",topic 1
grand rapid_2,"[('art', 2), ('museum', 2)]",topic 24
grand teton_3,"[('filter', 1), ('sunrise', 1)]",topic 22
grandcentralstation_0,"[('building', 2), ('architecture', 1)]",topic 22
grandchute_0,"[('consultant', 2), ('jewelry', 2)]",topic 9
grandrapid_1,"[('delicious', 1), ('breakfast', 1)]",topic 14
grandteton_2,"[('road', 2), ('trip', 1)]",topic 22
grandtetonnationalpark_0,"[('usa', 2), ('america', 1)]",topic 22
grape street_0,"[('salad', 1), ('cafe', 1)]",topic 14
great adventure_0,"[('friend', 1), ('finally', 1)]",topic 20
great notion_0,"[('ipa', 1), ('drinking', 1), ('beer', 1)]",topic 14
greatfall_0,"[('listing', 3), ('estate', 3), ('realtor', 1), ('virtual', 1), ('tour', 1)]",topic 1
greek row_0,"[('excited', 2), ('wait', 1)]",topic 20
greenpoint_0,"[('tequila', 2), ('mezcal', 1)]",topic 5
greenwichct_0,"[('cool', 1), ('pretty', 1)]",topic 20
greenwichvillage_0,"[('art', 2), ('street', 1)]",topic 24
griffithobservatory_0,"[('hiking', 2), ('nature', 1)]",topic 22
griffithpark_1,"[('sunday', 2), ('sundays', 1)]",topic 26
gronk_3,"[('tailgating', 1), ('football', 1)]",topic 30
guelph_1,"[('career', 3), ('arc', 3)]",topic 10
gumbo shop_0,"[('lunch', 2), ('chicken', 1)]",topic 14
gumwall_0,"[('art', 1), ('wall', 1)]",topic 24
gwa2016_2,"[('garden', 1), ('gardens', 1)]",topic 25
h street festival_0,"[('fest', 2), ('festival', 2), ('music', 1)]",topic 20
haight street_0,"[('adventure', 1), ('explore', 1)]",topic 22
half moon bay marathon_0,"[('race', 1), ('racing', 1)]",topic 19
halloweenhorrornight_2,"[('horror', 1), ('monsters', 1)]",topic 4
hamont_1,"[('filter', 2), ('sunrise', 1)]",topic 22
happiestplaceonearth_0,"[('girls', 1), ('girl', 1)]",topic 20
harahan_0,"[('sale', 2), ('representative', 2)]",topic 9
harbor_1,"[('coast', 1), ('east', 1)]",topic 1
harborlight_1,"[('aide', 1), ('cna', 1)]",topic 9
hardrocklive_0,"[('concert', 1), ('music', 1)]",topic 20
harlem usa_0,"[('thursday', 1), ('tbt', 1)]",topic 20
harpoon_0,"[('beer', 2), ('brewery', 1)]",topic 14
harrypotter_0,"[('harry', 5), ('potter', 4)]",topic 4
hartsfieldjackson_0,"[('hartsfield', 8), ('jackson', 8)]",topic 7
hartsfieldjackson atlanta_0,"[('airport', 1), ('flight', 1), ('plane', 1)]",topic 7
haunted mansion_0,"[('fall', 1), ('coming', 1)]",topic 22
hauntedmansion_1,"[('christmas', 2), ('halloween', 1)]",topic 4
hazel park raceway_0,"[('lit', 1), ('party', 1)]",topic 20
hb_1,"[('art', 1), ('photography', 1), ('street', 1)]",topic 24
hbo_7,"[('awards', 2), ('award', 1)]",topic 17
heb_0,"[('store', 2), ('grocery', 1)]",topic 9
heinz field_0,"[('opener', 2), ('win', 2), ('football', 2), ('season', 1), ('beat', 1)]",topic 30
hello chicago_1,"[('blue', 2), ('sky', 1)]",topic 22
helote_0,"[('career', 2), ('arc', 2)]",topic 10
herewego_0,"[('gameday', 1), ('football', 1), ('season', 1)]",topic 30
hermosa beach pier_0,"[('sky', 1), ('clouds', 1), ('skies', 1)]",topic 22
hermosillo_0,"[('drink', 1), ('local', 1)]",topic 14
hhn26_0,"[('fall', 1), ('coming', 1)]",topic 22
highlandheight_0,"[('career', 2), ('arc', 2)]",topic 10
highline ballroom_0,"[('concert', 1), ('music', 1)]",topic 20
highway1_1,"[('drive', 1), ('road', 1)]",topic 22
hilton head_0,"[('afternoon', 1), ('enjoying', 1)]",topic 22
hiltonhead_0,"[('monday', 2), ('motivation', 1)]",topic 11
hiv_1,"[('care', 2), ('health', 2)]",topic 9
hockey_8,"[('win', 1), ('season', 1)]",topic 30
hockey_9,"[('kids', 2), ('kid', 1)]",topic 20
hodgkin_0,"[('clerical', 1), ('manufacturing', 1)]",topic 9
hoffmanestate_0,"[('cosmetology', 3), ('salon', 1), ('hair', 1), ('cuttery', 1)]",topic 9
hogwart_0,"[('harry', 4), ('potter', 3)]",topic 4
holden beach_0,"[('east', 1), ('north', 1)]",topic 1
hollandmichigan_0,"[('island', 1), ('cruise', 1)]",topic 22
hollyspring_0,"[('ulta', 1), ('beauty', 1), ('cosmetology', 1)]",topic 9
hollywood bowl_0,"[('amazing', 2), ('awesome', 1)]",topic 20
hollywood hill_0,"[('shoot', 1), ('shot', 1)]",topic 24
hollywood studio_0,"[('star', 2), ('wars', 2)]",topic 3
hollywoodbowl_1,"[('music', 3), ('concert', 2)]",topic 20
hollywoodsign_1,"[('fashion', 2), ('style', 1), ('mens', 1)]",topic 24
hollywoodstudio_0,"[('star', 5), ('wars', 4)]",topic 3
honeoyefall_0,"[('manufacturing', 2), ('engineering', 1), ('kelly', 1)]",topic 9
honey butter_0,"[('chicken', 2), ('fried', 2), ('sauce', 1)]",topic 14
hookem_1,"[('stadium', 1), ('beat', 1)]",topic 30
hoover_0,"[('career', 2), ('arc', 2)]",topic 10
hoover dam_1,"[('trip', 1), ('adventure', 1)]",topic 22
hooverdam_1,"[('trip', 2), ('road', 1)]",topic 22
hospital havertown_0,"[('kindred', 2), ('diem', 1)]",topic 9
hottytoddy_0,"[('stadium', 3), ('win', 1), ('beat', 1), ('gameday', 1)]",topic 30
house of blue dalla_0,"[('music', 1), ('stage', 1)]",topic 20
houston symphony_0,"[('music', 1), ('band', 1)]",topic 20
houstontexans_2,"[('football', 2), ('nfl', 1), ('sunday', 1)]",topic 30
houstontexans_6,"[('win', 3), ('field', 1)]",topic 30
houstontexans_7,"[('nfl', 1), ('nation', 1)]",topic 30
htown_7,"[('funday', 2), ('sunday', 1)]",topic 26
httr_5,"[('football', 5), ('tailgating', 3), ('gameday', 1), ('beat', 1), ('nation', 1)]",topic 30
htx_1,"[('celebrating', 1), ('celebrate', 1)]",topic 20
hudson terrace_0,"[('sunday', 2), ('saturday', 1)]",topic 26
hudson yard_0,"[('monday', 2), ('motivation', 1)]",topic 11
hudsonriver_2,"[('perfect', 1), ('evening', 1)]",topic 22
hudsonvalley_1,"[('nature', 1), ('trail', 1), ('hiking', 1)]",topic 22
hurricanebianca_0,"[('movie', 2), ('film', 1)]",topic 17
huskers_3,"[('yesterday', 3), ('awesome', 1), ('amazing', 1)]",topic 20
hutchin_0,"[('arc', 2), ('career', 2)]",topic 10
hyvee_0,"[('vee', 2), ('hy', 2)]",topic 2
i190_2,"[('directions', 2), ('construction', 2), ('update', 1), ('cleared', 1)]",topic 1
i190_3,"[('thruway', 1), ('cleared', 1), ('incident', 1), ('rte', 1)]",topic 1
i190 nb_0,"[('cleared', 2), ('incident', 1), ('construction', 1)]",topic 1
i280 eb_0,"[('incident', 1), ('closure', 1)]",topic 1
i280 wb_1,"[('cleared', 2), ('incident', 1)]",topic 1
i490 eb_0,"[('cleared', 1), ('construction', 1), ('incident', 1)]",topic 1
i490 wb_0,"[('construction', 1), ('incident', 1)]",topic 1
i590 nb_0,"[('construction', 2), ('update', 1)]",topic 1
iad_0,"[('international', 4), ('airport', 2)]",topic 7
iah_0,"[('airlines', 1), ('flight', 1)]",topic 7
id16_0,"[('fest', 2), ('festival', 1)]",topic 20
idahofall_0,"[('career', 2), ('arc', 2)]",topic 10
ifbbpro_0,"[('fitness', 1), ('gym', 1)]",topic 11
ifc center_0,"[('film', 1), ('movie', 1)]",topic 17
igboston_1,"[('clouds', 1), ('sky', 1)]",topic 22
igdc_2,"[('pic', 1), ('picture', 1)]",topic 23
iheartradio_0,"[('repost', 2), ('repostapp', 1)]",topic 17
iheartradio music festival_0,"[('festival', 4), ('music', 4)]",topic 20
iloveny_5,"[('art', 2), ('street', 2), ('photography', 1)]",topic 24
ilovenyc_1,"[('america', 1), ('usa', 1)]",topic 22
imperial buffalo_0,"[('ale', 2), ('beer', 1), ('drinking', 1), ('company', 1), ('brewing', 1)]",topic 14
inbend_0,"[('lit', 1), ('party', 1)]",topic 20
independent  day_0,"[('fest', 3), ('festival', 2)]",topic 20
indvsden_1,"[('nation', 1), ('football', 1), ('beat', 1), ('win', 1)]",topic 30
indvsden_2,"[('nfl', 2), ('sunday', 1)]",topic 30
indy_2,"[('blue', 1), ('red', 1), ('white', 1)]",topic 21
indycar_0,"[('race', 2), ('racing', 1)]",topic 19
ingersoll_0,"[('career', 2), ('arc', 2)]",topic 10
innerharbor_0,"[('street', 1), ('photography', 1), ('art', 1)]",topic 24
innerwild_0,"[('trail', 2), ('trails', 1), ('running', 1)]",topic 22
innout burger_7,"[('burger', 2), ('fries', 1)]",topic 14
instadfw_2,"[('photography', 1), ('shoot', 1), ('canon', 1)]",topic 24
instructional league_0,"[('tim', 2), ('tebow', 2)]",topic 27
interbike_2,"[('ride', 1), ('bikes', 1), ('mtb', 1)]",topic 19
interbike_5,"[('bike', 8), ('ride', 3), ('mtb', 1)]",topic 19
interbike2016_2,"[('ride', 1), ('bikes', 1), ('mtb', 1)]",topic 19
interbike2016_3,"[('bike', 2), ('ride', 2), ('bikes', 1)]",topic 19
intercontinental airport_0,"[('friend', 1), ('finally', 1)]",topic 20
international terminal_0,"[('tbit', 2), ('bradley', 2)]",topic 5
interurban ipa_0,"[('drinking', 2), ('brewery', 1)]",topic 14
intheberkshire_0,"[('club', 2), ('golf', 1)]",topic 16
invergroveheight_0,"[('career', 4), ('arc', 4)]",topic 10
iowa state university_0,"[('student', 2), ('college', 1)]",topic 28
iphone7_0,"[('iphone', 2), ('phone', 1), ('apple', 1)]",topic 15
irvine meadow_0,"[('amphitheater', 1), ('concert', 1)]",topic 20
islandsofadventure_0,"[('islands', 1), ('island', 1)]",topic 22
itfdb_1,"[('stadium', 3), ('beat', 3)]",topic 30
jacket_3,"[('football', 2), ('college', 1), ('beat', 1)]",topic 30
jackson hole_2,"[('filter', 2), ('sunrise', 1)]",topic 22
jackson square_0,"[('walking', 1), ('walk', 1)]",topic 22
jacksonheight_0,"[('career', 2), ('arc', 2)]",topic 10
jacksonhole_1,"[('adventure', 1), ('wanderlust', 1)]",topic 22
jacksontwp_0,"[('accounting', 2), ('accountemps', 1), ('clerk', 1), ('clerical', 1)]",topic 9
jaguar_0,"[('opener', 1), ('nfl', 1)]",topic 30
jamesbay_0,"[('festival', 1), ('music', 1)]",topic 20
jamesbay_1,"[('music', 1), ('concert', 1)]",topic 20
japanese garden_0,"[('gardens', 1), ('garden', 1)]",topic 25
javaone_0,"[('pretty', 1), ('cool', 1)]",topic 20
javit_0,"[('center', 5), ('convention', 1)]",topic 6
javit center_0,"[('dress', 2), ('fashion', 1)]",topic 24
jax_2,"[('clouds', 2), ('sky', 1)]",topic 22
jeffersontown_0,"[('career', 2), ('arc', 2)]",topic 10
jeni s splendid ice cream_0,"[('ice', 2), ('cream', 2)]",topic 14
jetblue_3,"[('flying', 1), ('flight', 1)]",topic 7
jfk_5,"[('airport', 5), ('international', 2), ('flight', 2), ('plane', 1)]",topic 7
jfk john_0,"[('airport', 1), ('bound', 1)]",topic 7
jfkairport_0,"[('airport', 2), ('flight', 1), ('international', 1)]",topic 7
jimmy g_0,"[('season', 2), ('opener', 1), ('nfl', 1)]",topic 30
jimmyeatworld_0,"[('music', 1), ('festival', 1), ('fest', 1)]",topic 20
kaaboo_1,"[('festival', 7), ('fest', 2)]",topic 20
kaaboodelmar_1,"[('festival', 4), ('music', 2)]",topic 20
kaboo_0,"[('sunday', 2), ('brunch', 1)]",topic 26
kannapoli_0,"[('property', 1), ('estate', 1), ('listing', 1)]",topic 1
kansa_1,"[('coming', 1), ('fall', 1)]",topic 22
kanye_3,"[('instagram', 1), ('insta', 1)]",topic 23
kazunori_0,"[('lobster', 1), ('roll', 1)]",topic 21
kc_5,"[('art', 1), ('painting', 1), ('wall', 1)]",topic 24
kc_7,"[('nice', 1), ('pretty', 1)]",topic 20
kcrw_0,"[('music', 1), ('festival', 1)]",topic 20
keeppounding_0,"[('football', 1), ('opener', 1), ('beat', 1)]",topic 30
kerry park_0,"[('skyline', 2), ('downtown', 2)]",topic 22
kettering_0,"[('career', 3), ('arc', 3)]",topic 10
keywestflorida_0,"[('style', 1), ('color', 1)]",topic 24
kill devil hill_0,"[('vacation', 2), ('mini', 1)]",topic 22
killer_0,"[('music', 1), ('festival', 1)]",topic 20
killer mike_0,"[('music', 1), ('stage', 1)]",topic 20
killswitchengage_0,"[('music', 1), ('band', 1)]",topic 20
kitchener_1,"[('career', 3), ('arc', 3)]",topic 10
klamathfall_0,"[('career', 2), ('arc', 2)]",topic 10
klos_0,"[('music', 1), ('album', 1)]",topic 20
knotts_0,"[('halloween', 2), ('scary', 1)]",topic 4
knottsscaryfarm_1,"[('scary', 3), ('halloween', 2)]",topic 4
kob_1,"[('rip', 4), ('peace', 1)]",topic 18
