localword,words,type
atlantis_0,"[('care', 2), ('dialysis', 1), ('fresenius', 1)]",topic 9
atleat_0,"[('foodie', 1), ('salad', 1), ('food', 1)]",topic 14
attpark_0,"[('summer', 1), ('perfect', 1)]",topic 22
atx_6,"[('street', 3), ('art', 3), ('graffiti', 3), ('sidewalk', 1)]",topic 24
atx_7,"[('porn', 2), ('food', 2), ('yum', 1), ('eat', 1)]",topic 14
atx_8,"[('trail', 1), ('nature', 1)]",topic 22
atxeat_1,"[('gay', 1), ('insta', 1)]",topic 23
auburnhill_0,"[('career', 2), ('arc', 2)]",topic 10
aus_0,"[('airport', 2), ('international', 2), ('headed', 1)]",topic 7
austin country club_0,"[('shoes', 2), ('shoe', 1)]",topic 24
austintexas_2,"[('graffiti', 1), ('street', 1)]",topic 24
austintown_0,"[('store', 2), ('sale', 1), ('customer', 1)]",topic 9
austintx_2,"[('tap', 1), ('beer', 1)]",topic 14
avemaria_0,"[('engineer', 2), ('manufacturing', 1)]",topic 9
aventura_0,"[('career', 3), ('arc', 3)]",topic 10
avila_0,"[('lunch', 1), ('food', 1)]",topic 14
avl_1,"[('wedding', 1), ('congrats', 1)]",topic 20
ayso_1,"[('soccer', 2), ('fc', 1)]",topic 30
azcard_0,"[('football', 1), ('nfl', 1)]",topic 30
azcardinal_1,"[('stadium', 2), ('tailgating', 1)]",topic 30
badboyreunion_0,"[('vip', 2), ('lounge', 1)]",topic 20
badboyreunion_2,"[('concert', 2), ('arena', 1)]",topic 20
badboyreuniontour_0,"[('bad', 3), ('boy', 2)]",topic 20
badland_2,"[('hiking', 1), ('nature', 1)]",topic 22
badreligion_0,"[('music', 2), ('concert', 1)]",topic 20
bahamas_2,"[('ootd', 1), ('blogger', 1)]",topic 24
bahamas_10,"[('carnival', 3), ('cruise', 2)]",topic 22
bahamas_13,"[('island', 2), ('cruise', 1)]",topic 22
bahamas_14,"[('quick', 1), ('trip', 1)]",topic 22
bahamas_16,"[('islands', 1), ('island', 1)]",topic 22
balboa park_0,"[('evening', 1), ('perfect', 1)]",topic 22
balboapark_0,"[('travel', 2), ('gram', 1)]",topic 22
ballastpoint_0,"[('beer', 2), ('brewing', 1)]",topic 14
ballston_0,"[('career', 3), ('arc', 3)]",topic 10
bama_1,"[('beat', 1), ('stadium', 1)]",topic 30
bandier_0,"[('fit', 1), ('fitness', 1)]",topic 11
bank of_0,"[('football', 5), ('nfl', 4), ('stadium', 2), ('opener', 1)]",topic 30
bankhead_1,"[('da', 1), ('wit', 1)]",topic 20
bankhead westside_0,"[('rip', 1), ('peace', 1)]",topic 18
barclay center_0,"[('america', 2), ('usa', 1)]",topic 22
barnegatbay_1,"[('shore', 2), ('jersey', 2)]",topic 1
barrie_0,"[('career', 2), ('arc', 2)]",topic 10
batesburgleesville_0,"[('career', 2), ('arc', 2)]",topic 10
battery garden_0,"[('wedding', 1), ('congrats', 1)]",topic 20
bay area_7,"[('football', 1), ('field', 1)]",topic 30
bayarea_7,"[('dog', 1), ('puppy', 1)]",topic 23
bayarea_8,"[('coming', 2), ('fall', 1)]",topic 22
baylor university_2,"[('center', 2), ('medical', 2)]",topic 6
bbandt pavilion_0,"[('remember', 1), ('lost', 1)]",topic 18
bblogger_0,"[('makeup', 1), ('beauty', 1), ('hair', 1)]",topic 24
bdl_0,"[('international', 3), ('airport', 3), ('flight', 1)]",topic 7
beachlife_33,"[('fitness', 1), ('workout', 1)]",topic 11
beachlife_34,"[('nature', 1), ('clouds', 1)]",topic 22
beachlife_35,"[('sunday', 2), ('funday', 1)]",topic 26
beachlife_21,"[('street', 2), ('art', 1), ('graffiti', 1)]",topic 24
beachlife_2,"[('vacation', 1), ('island', 1)]",topic 22
beachlife_6,"[('summer', 2), ('endless', 1)]",topic 22
beachlife_4,"[('perfect', 1), ('summer', 1)]",topic 22
beardown_1,"[('win', 1), ('football', 1), ('tailgating', 1), ('beat', 1)]",topic 30
beardown_2,"[('bear', 1), ('bears', 1)]",topic 29
beardown_4,"[('bears', 7), ('bear', 3)]",topic 29
beatsf_1,"[('stadium', 4), ('field', 1)]",topic 30
beattexas_0,"[('stadium', 2), ('win', 1)]",topic 30
bedford styvesant_0,"[('drawing', 1), ('sketch', 1)]",topic 24
bedminstertownship_0,"[('finance', 1), ('accounting', 1), ('rhfa', 1)]",topic 9
belichick_0,"[('tailgating', 1), ('football', 1)]",topic 30
bellagio_0,"[('flowers', 2), ('flower', 1)]",topic 25
bengal_0,"[('steelers', 2), ('steeltown', 1)]",topic 5
bengal_2,"[('nfl', 1), ('sunday', 1)]",topic 30
bengal_5,"[('beat', 2), ('nation', 1)]",topic 30
berklee_0,"[('watching', 1), ('watch', 1)]",topic 30
bethiphopaward_1,"[('repost', 2), ('repostregramapp', 1)]",topic 17
bethiphopaward_2,"[('hip', 1), ('hop', 1), ('rap', 1)]",topic 20
bethiphopaward weekend_1,"[('awards', 2), ('award', 1)]",topic 17
beverly hill_0,"[('brunch', 2), ('sunday', 1)]",topic 26
beverlyhill_0,"[('insta', 2), ('instagram', 1)]",topic 23
bexley_0,"[('shift', 3), ('supervisor', 1), ('cashier', 1)]",topic 9
beyhive_0,"[('slay', 2), ('beyonc', 2), ('yonce', 1)]",topic 20
beyonce_0,"[('beyonc', 3), ('queen', 2), ('slay', 2)]",topic 20
beyonce_1,"[('beyonc', 2), ('slay', 1)]",topic 20
beyonce_8,"[('beyonc', 2), ('slay', 1), ('yonce', 1)]",topic 20
beyonce formation_0,"[('queen', 1), ('beyonc', 1)]",topic 20
big e_0,"[('food', 2), ('porn', 1)]",topic 14
big house_0,"[('win', 1), ('fan', 1)]",topic 30
big star_0,"[('tuesday', 1), ('taco', 1), ('tacos', 1)]",topic 14
bigapple_1,"[('amazing', 2), ('awesome', 1)]",topic 20
bigblue_0,"[('stadium', 3), ('football', 3), ('field', 1)]",topic 30
biggby coffee_3,"[('breakfast', 1), ('coffee', 1)]",topic 14
bill snyder_0,"[('caturday', 1), ('cats', 1)]",topic 23
billing_0,"[('career', 2), ('arc', 2)]",topic 10
birdgang_0,"[('nfl', 1), ('season', 1)]",topic 30
birdland_0,"[('seat', 1), ('seats', 1)]",topic 30
biscaynebay_0,"[('awesome', 1), ('super', 1)]",topic 20
bk_1,"[('art', 3), ('street', 1)]",topic 24
blackgirlmagic_5,"[('slay', 1), ('beyonc', 1)]",topic 20
blackhill_0,"[('photography', 1), ('landscape', 1)]",topic 24
blackrockcity_0,"[('flight', 1), ('airport', 1)]",topic 7
blacksabbath_0,"[('music', 2), ('concert', 2), ('album', 1)]",topic 20
blacksabbath_2,"[('ozzy', 2), ('osbourne', 2)]",topic 18
blasdell_0,"[('rte', 2), ('construction', 1), ('cleared', 1)]",topic 1
blink182_1,"[('concert', 4), ('music', 1)]",topic 20
blink182_3,"[('amphitheater', 2), ('concert', 2)]",topic 20
blue star donut_0,"[('donuts', 2), ('donut', 2)]",topic 14
bmo field_0,"[('squad', 2), ('goals', 1)]",topic 11
bobby dodd_0,"[('field', 2), ('stadium', 1)]",topic 30
bobby dodd stadium_0,"[('college', 1), ('beat', 1), ('football', 1)]",topic 30
boca_1,"[('yummy', 1), ('dinner', 1)]",topic 14
boilingspring_1,"[('career', 3), ('arc', 3)]",topic 10
boltup_1,"[('girls', 2), ('girl', 1)]",topic 20
boston harbor_0,"[('filter', 2), ('sunrise', 1)]",topic 22
bostoncommon_0,"[('coming', 1), ('autumn', 1), ('fall', 1)]",topic 22
bostonredsox_0,"[('red', 2), ('white', 1)]",topic 21
bowery_0,"[('art', 3), ('graffiti', 1), ('street', 1)]",topic 24
brampton_3,"[('career', 3), ('arc', 3)]",topic 10
breast center_0,"[('technologist', 2), ('prn', 2)]",topic 9
brewer s choice_0,"[('flavor', 1), ('drinking', 1)]",topic 14
brickell_1,"[('tuesday', 1), ('tacos', 1)]",topic 14
bricktownship_0,"[('cosmetology', 1), ('ulta', 1), ('beauty', 1)]",topic 9
bridgestone arena_0,"[('awesome', 1), ('incredible', 1), ('amazing', 1)]",topic 20
bristol motor speedway_0,"[('football', 1), ('beat', 1)]",topic 30
brockville_3,"[('career', 3), ('arc', 3)]",topic 10
bronco_0,"[('fan', 1), ('win', 1)]",topic 30
broncos_7,"[('football', 2), ('nfl', 2), ('gameday', 1), ('season', 1)]",topic 30
broncos_8,"[('funday', 1), ('sunday', 1), ('nfl', 1)]",topic 26
broncos win_0,"[('win', 2), ('score', 1)]",topic 30
broncoscountry_0,"[('football', 3), ('nfl', 1), ('season', 1), ('win', 1), ('beat', 1)]",topic 30
brooking_0,"[('career', 3), ('arc', 3)]",topic 10
brooklyn book_0,"[('festival', 3), ('fest', 2)]",topic 20
brooklyn bridge_0,"[('girl', 2), ('cute', 1)]",topic 20
brooklynbookfestival_0,"[('book', 4), ('books', 2)]",topic 3
brooklynbridge_0,"[('photography', 4), ('street', 1), ('art', 1), ('graffiti', 1)]",topic 24
brown band_0,"[('concert', 2), ('music', 1)]",topic 20
bryant park_0,"[('weather', 1), ('sky', 1)]",topic 22
brycecanyon_0,"[('trip', 2), ('road', 2)]",topic 22
bucktown_0,"[('running', 1), ('trail', 1)]",topic 22
bucs_0,"[('watching', 1), ('win', 1)]",topic 30
bullsonparade_0,"[('brunch', 1), ('sunday', 1)]",topic 26
burlon_0,"[('coming', 1), ('fall', 1)]",topic 22
burningman_1,"[('light', 4), ('lights', 1)]",topic 22
